JobID,Title,Description,RequiredSkills,ExperienceLevel,Location,Salary
1,Software Engineer - TCS,Develop enterprise software solutions using Java and cloud technologies,"Java, Spring Boot, SQL, AWS",Mid,Bengaluru,850000
2,Data Analyst - Infosys,Analyze business metrics and create reports,"Python, SQL, Excel, Tableau",Entry,Mumbai,450000
3,DevOps Engineer - Wipro,Implement CI/CD pipelines and cloud infrastructure,"AWS, Docker, Kubernetes, Jenkins",Senior,Hyderabad,1800000
4,Digital Marketer - Zomato,Manage social media campaigns and SEO,"SEO, Google Analytics, Social Media Marketing",Mid,Delhi,600000
5,AI Engineer - Flipkart,Build machine learning models for recommendations,"Python, TensorFlow, PyTorch, NLP",Senior,Bengaluru,2200000
6,UI/UX Designer - Paytm,Design user interfaces for mobile applications,"Figma, Adobe XD, User Research, Prototyping",Entry,Pune,500000
7,Cybersecurity Specialist - Jio,Implement security protocols for network systems,"Ethical Hacking, Firewalls, CISSP, Networking",Mid,Mumbai,1200000
8,Product Manager - Byju's,Manage educational tech product lifecycle,"Agile, JIRA, Product Management, UX",Senior,Bengaluru,2500000
9,Full Stack Developer - Swiggy,Develop food delivery platform features,"React, Node.js, MongoDB, REST APIs",Mid,Hyderabad,1500000
10,Cloud Architect - Amazon India,Design AWS cloud infrastructure solutions,"AWS, Terraform, Network Security, DevOps",Senior,Chennai,2800000
11,QA Engineer - MakeMyTrip,Ensure software quality through automated testing,"Selenium, JUnit, TestNG, Automation",Entry,Gurgaon,550000
12,Business Analyst - Ola,Analyze ride-sharing metrics and optimize operations,"SQL, Power BI, Business Analysis, Excel",Mid,Bengaluru,900000
13,Mobile Developer - PhonePe,Develop UPI payment gateway features,"Flutter, Dart, Firebase, REST APIs",Senior,Mumbai,2100000
14,SEO Specialist - Myntra,Optimize e-commerce product visibility,"SEO, Keyword Research, Google Search Console",Entry,Bengaluru,480000
15,Data Scientist - BigBasket,Predict inventory requirements using ML models,"Python, Scikit-learn, Pandas, NumPy",Mid,Hyderabad,1400000
16,Software Expert - TCS,Develop enterprise software solutions using Java and cloud technologies using cutting-edge technologies.,"Spring Boot, AWS, Java, SQL, AWS",Mid,Pune,789828
17,Data Analyst - Infosys,Analyze business metrics and create reports using cutting-edge technologies.,"SQL, Python, Tableau, Excel, Excel",Entry,Bengaluru,411071
18,DevOps Engineer - Wipro,Implement CI/CD pipelines and cloud infrastructure using cutting-edge technologies.,"Kubernetes, Docker, AWS, Jenkins, Jenkins",Senior,Chennai,1756993
19,Digital Marketer - Zomato,Manage social media campaigns and SEO using cutting-edge technologies.,"Social Media Marketing, Google Analytics, SEO, Social Media Marketing",Mid,Delhi,615251
20,AI Engineer - Flipkart,Build machine learning models for recommendations using cutting-edge technologies.,"Python, TensorFlow, PyTorch, NLP, NLP",Senior,Gurgaon,2154534
21,UI/UX Designer - Paytm,Design user interfaces for mobile applications using cutting-edge technologies.,"User Research, Prototyping, Figma, Adobe XD, Figma",Entry,Delhi,513213
22,Cybersecurity Specialist - Jio,Implement security protocols for network systems using cutting-edge technologies.,"Firewalls, Networking, Ethical Hacking, CISSP, Networking",Mid,Hyderabad,1225081
23,Product Manager - Byju's,Manage educational tech product lifecycle using cutting-edge technologies.,"JIRA, Product Management, Agile, UX, Product Management",Senior,Hyderabad,2600791
